event_id,detector_type,severity,reputation_score,hit_count,perimeter_vendor,is_whitelisted,label
evt_0039_4134,alert_webshell_immediate,high,92,18,akamai,0,1
evt_0040_3966,alert_webshell_immediate,high,83,121,none,0,1
evt_0041_2868,alert_webshell_immediate,high,82,143,none,0,1
evt_0042_2567,alert_distributed_error,medium,50,1738,none,0,0
evt_0043_7463,alert_url_probe,medium,24,41,paloalto,0,0
evt_0044_4210,alert_url_probe,medium,70,36,imperva,0,0
evt_0045_4894,alert_webshell_name,high,70,40,none,0,1
evt_0046_1424,alert_distributed_error,medium,53,145,none,0,0
evt_0047_6035,alert_webshell_immediate,high,93,105,none,0,1
evt_0048_7179,alert_url_probe,medium,75,16,none,0,0
evt_0049_5442,alert_webshell_heur,high,56,23,paloalto,0,1
evt_0050_7153,alert_webshell_heur,medium,61,38,imperva,0,1
evt_0051_5673,alert_webshell_heur,high,57,50,none,0,1
evt_0052_4652,alert_webshell_heur,medium,52,25,akamai,0,1
evt_0053_8215,alert_webshell_immediate,high,89,116,imperva,0,1
evt_0054_1554,alert_gambling_slot,low,3,2,none,1,0
evt_0055_9691,alert_webshell_name,medium,56,69,none,0,1
evt_0056_5924,alert_gambling_slot,high,77,646,paloalto,0,1
evt_0057_7818,alert_webshell_heur,medium,70,72,none,0,1
evt_0058_6520,alert_distributed_error,medium,26,3746,none,0,0
evt_0059_7308,alert_gambling_slot,high,77,542,imperva,0,1
evt_0060_1924,alert_gambling_slot,high,61,756,none,0,0
evt_0061_1083,alert_webshell_immediate,high,98,110,paloalto,0,1
evt_0062_9883,alert_distributed_error,medium,47,1879,none,0,0
evt_0063_1177,alert_url_probe,medium,53,6,paloalto,0,0
evt_0064_2575,alert_webshell_heur,high,75,17,akamai,0,1
evt_0065_1078,alert_gambling_slot,high,64,121,paloalto,0,1
evt_0066_9005,alert_gambling_slot,high,67,973,paloalto,0,1
evt_0067_9586,alert_gambling_slot,high,90,881,paloalto,0,0
evt_0068_6365,alert_webshell_heur,medium,58,67,imperva,0,1
evt_0069_2288,alert_url_probe,low,41,37,paloalto,0,0
evt_0070_3769,alert_distributed_error,medium,16,1338,imperva,0,0
evt_0071_4717,alert_distributed_error,medium,59,3100,paloalto,0,0
evt_0072_5299,alert_webshell_immediate,high,85,27,imperva,0,1
evt_0073_1995,alert_distributed_error,medium,16,3343,none,0,0
evt_0074_1706,alert_webshell_name,medium,86,43,none,0,1
evt_0075_7763,alert_distributed_error,medium,37,2236,akamai,0,0
evt_0076_1232,alert_webshell_name,low,2,1,none,1,0
evt_0077_6922,alert_gambling_slot,high,56,450,imperva,0,1
evt_0078_2285,alert_distributed_error,medium,42,3339,none,0,0
evt_0079_9889,alert_webshell_heur,high,95,5,imperva,0,1
evt_0080_6298,alert_webshell_immediate,high,99,57,paloalto,0,1
evt_0081_6118,alert_webshell_name,high,69,36,imperva,0,1
evt_0082_7280,alert_url_probe,low,85,45,akamai,0,0
evt_0083_5267,alert_distributed_error,medium,44,2224,none,0,0
evt_0084_3765,alert_url_probe,medium,77,3,akamai,0,0
evt_0085_4306,alert_distributed_error,medium,56,1725,paloalto,0,0
evt_0086_6594,alert_webshell_heur,high,61,44,imperva,0,1
evt_0087_9981,alert_distributed_error,medium,18,242,imperva,0,0
evt_0088_8629,alert_webshell_heur,medium,73,62,imperva,0,1
evt_0089_3660,alert_distributed_error,medium,60,4803,none,0,1
evt_0090_3518,alert_webshell_heur,high,79,67,akamai,0,1
evt_0091_4814,alert_webshell_name,high,74,77,none,0,0
evt_0092_1835,alert_webshell_immediate,high,100,125,akamai,0,1
evt_0093_6631,alert_webshell_immediate,high,96,29,none,0,1
evt_0094_9579,alert_url_probe,medium,80,33,paloalto,0,0
evt_0095_2882,alert_url_probe,low,33,13,none,0,1
evt_0096_2457,alert_distributed_error,medium,60,353,akamai,0,0
evt_0097_1631,alert_webshell_heur,high,73,10,none,0,1
evt_0098_4311,alert_gambling_slot,high,53,743,none,0,1
evt_0099_3952,alert_webshell_immediate,high,89,26,imperva,0,1
evt_0100_1458,alert_url_probe,low,49,34,none,0,1
evt_0101_3799,alert_url_probe,low,32,23,akamai,0,0
evt_0102_4330,alert_gambling_slot,low,1,7,none,1,0
evt_0103_5742,alert_webshell_immediate,high,88,58,none,0,1
evt_0104_1526,alert_distributed_error,medium,27,2982,akamai,0,0
evt_0105_3492,alert_webshell_name,medium,80,42,none,0,1
evt_0106_2046,alert_webshell_immediate,high,80,128,none,0,1
evt_0107_7858,alert_distributed_error,medium,41,291,akamai,0,0
evt_0108_6650,alert_webshell_heur,medium,87,28,paloalto,0,1
evt_0109_7798,alert_webshell_name,high,65,8,none,0,1
evt_0110_5090,alert_webshell_heur,high,70,46,imperva,0,1
evt_0111_7867,alert_webshell_immediate,high,92,35,akamai,0,0
evt_0112_4979,alert_webshell_name,high,62,77,paloalto,0,0
evt_0113_1739,alert_url_probe,low,79,31,akamai,0,1
evt_0114_1348,alert_webshell_immediate,high,85,150,akamai,0,0
evt_0115_6496,alert_gambling_slot,high,72,793,paloalto,0,1
evt_0116_1535,alert_webshell_immediate,high,100,93,none,0,1
evt_0117_7601,alert_url_probe,low,30,17,akamai,0,0
evt_0118_6902,alert_url_probe,medium,57,26,none,0,1
evt_0119_1611,alert_webshell_name,medium,75,63,paloalto,0,1
evt_0120_6300,alert_distributed_error,medium,34,522,paloalto,0,0
evt_0121_8075,alert_gambling_slot,high,83,211,imperva,0,1
evt_0122_5435,alert_webshell_heur,high,62,35,none,0,1
evt_0123_1694,alert_webshell_immediate,low,1,1,none,1,0
evt_0124_4214,alert_webshell_heur,high,65,79,imperva,0,1
evt_0125_5778,alert_webshell_name,high,64,38,paloalto,0,0
evt_0126_2407,alert_webshell_heur,medium,56,51,none,0,1
evt_0127_2147,alert_webshell_heur,medium,84,76,none,0,1
evt_0128_6706,alert_gambling_slot,high,78,506,imperva,0,1
evt_0129_2014,alert_distributed_error,medium,49,3668,none,0,0
evt_0130_8134,alert_gambling_slot,high,58,303,none,0,1
evt_0131_3158,alert_webshell_heur,high,75,15,paloalto,0,1
evt_0132_9131,alert_webshell_heur,medium,56,8,imperva,0,1
evt_0133_6976,alert_webshell_immediate,high,86,126,paloalto,0,1
evt_0134_4237,alert_url_probe,low,30,34,imperva,0,0
evt_0135_9310,alert_webshell_immediate,high,87,61,akamai,0,1
evt_0136_4760,alert_gambling_slot,high,67,642,imperva,0,1
evt_0137_4573,alert_distributed_error,medium,28,2067,imperva,0,1
evt_0138_9544,alert_webshell_heur,high,88,51,akamai,0,1
evt_0139_2779,alert_gambling_slot,high,66,403,none,0,1
evt_0140_1600,alert_webshell_immediate,high,84,110,akamai,0,1
evt_0141_8112,alert_webshell_immediate,high,83,145,none,0,1
evt_0142_2080,alert_distributed_error,medium,20,2882,imperva,0,1
evt_0143_4217,alert_webshell_immediate,high,88,129,paloalto,0,1
evt_0144_5011,alert_gambling_slot,high,54,299,paloalto,0,1
evt_0145_6985,alert_gambling_slot,high,80,756,none,0,1
evt_0146_1500,alert_webshell_name,medium,50,38,paloalto,0,1
evt_0147_6458,alert_url_probe,low,56,36,imperva,0,0
evt_0148_6491,alert_gambling_slot,high,73,900,imperva,0,1
evt_0149_7820,alert_webshell_name,medium,51,51,akamai,0,1
evt_0150_3530,alert_distributed_error,medium,26,1164,akamai,0,1
evt_0151_4703,alert_url_probe,medium,58,8,none,0,0
evt_0152_6980,alert_distributed_error,low,2,3,none,1,0
evt_0153_4113,alert_webshell_heur,low,2,1,imperva,1,0
evt_0154_3704,alert_webshell_immediate,low,0,4,akamai,1,0
evt_0155_5086,alert_url_probe,low,42,30,akamai,0,0
evt_0156_7781,alert_gambling_slot,high,45,995,akamai,0,1
evt_0157_5415,alert_webshell_heur,medium,54,43,akamai,0,1
evt_0158_9136,alert_webshell_name,high,74,19,none,0,1
evt_0159_4350,alert_distributed_error,medium,37,2435,imperva,0,0
evt_0160_1001,alert_webshell_heur,high,87,13,paloalto,0,0
evt_0161_9545,alert_webshell_immediate,high,94,126,none,0,1
evt_0162_4398,alert_webshell_name,high,69,19,akamai,0,0
evt_0163_4039,alert_webshell_immediate,low,3,7,none,1,0
evt_0164_1765,alert_webshell_name,high,58,66,none,0,1
evt_0165_7840,alert_webshell_name,low,7,8,imperva,1,0
evt_0166_7193,alert_url_probe,low,62,26,paloalto,0,0
evt_0167_4461,alert_distributed_error,medium,32,4318,paloalto,0,0
evt_0168_6428,alert_webshell_heur,high,93,24,none,0,1
evt_0169_4288,alert_distributed_error,medium,56,1829,imperva,0,0
evt_0170_7929,alert_url_probe,medium,47,34,akamai,0,0
evt_0171_7925,alert_webshell_name,high,88,32,none,0,1
evt_0172_9364,alert_url_probe,medium,81,48,akamai,0,0
evt_0173_2900,alert_webshell_name,medium,77,50,akamai,0,1
evt_0174_8975,alert_webshell_name,medium,90,42,paloalto,0,1
evt_0175_2906,alert_distributed_error,medium,49,2411,paloalto,0,0
evt_0176_9114,alert_url_probe,medium,84,38,imperva,0,0
evt_0177_3029,alert_webshell_name,high,72,29,none,0,1
evt_0178_9866,alert_url_probe,low,24,43,imperva,0,0
evt_0179_8508,alert_distributed_error,medium,38,2477,akamai,0,0
evt_0180_9068,alert_gambling_slot,high,43,443,akamai,0,1
evt_0181_9279,alert_webshell_heur,medium,65,67,paloalto,0,0
evt_0182_3313,alert_distributed_error,medium,44,2690,none,0,0
evt_0183_8270,alert_webshell_name,medium,84,62,paloalto,0,1
evt_0184_7284,alert_webshell_name,medium,76,80,akamai,0,1
evt_0185_6968,alert_webshell_heur,high,50,7,imperva,0,1
evt_0186_6482,alert_url_probe,low,78,2,none,0,1
evt_0187_2754,alert_webshell_heur,medium,61,13,imperva,0,0
evt_0188_9698,alert_url_probe,low,66,35,none,0,1
evt_0189_8044,alert_webshell_immediate,high,97,56,akamai,0,1
evt_0190_4232,alert_distributed_error,medium,31,4814,none,0,0
evt_0191_6107,alert_webshell_heur,high,87,32,none,0,1
evt_0192_6168,alert_gambling_slot,high,88,914,paloalto,0,1
evt_0193_5883,alert_url_probe,medium,47,9,akamai,0,1
evt_0194_6351,alert_distributed_error,medium,20,4149,paloalto,0,0
evt_0195_2534,alert_distributed_error,medium,32,2237,akamai,0,0
evt_0196_8971,alert_webshell_name,medium,58,34,paloalto,0,1
evt_0197_9580,alert_url_probe,low,6,3,akamai,1,0
evt_0198_9945,alert_gambling_slot,high,84,781,paloalto,0,1
evt_0199_2839,alert_distributed_error,medium,22,3313,imperva,0,0
evt_0200_2205,alert_webshell_immediate,high,98,140,paloalto,0,1
evt_0201_3117,alert_url_probe,medium,36,50,paloalto,0,0
evt_0202_4393,alert_gambling_slot,high,69,753,akamai,0,1
evt_0203_6252,alert_gambling_slot,high,82,997,imperva,0,1
evt_0204_6341,alert_webshell_name,medium,75,47,paloalto,0,1
evt_0205_9189,alert_webshell_immediate,high,98,97,imperva,0,1
evt_0206_4737,alert_gambling_slot,high,78,953,imperva,0,1
evt_0207_7897,alert_webshell_name,high,56,10,akamai,0,1
evt_0208_6891,alert_webshell_immediate,high,85,129,imperva,0,1
evt_0209_7231,alert_webshell_name,low,5,8,paloalto,1,0
evt_0210_4806,alert_webshell_immediate,high,96,47,akamai,0,1
evt_0211_1060,alert_url_probe,low,20,35,imperva,0,0
evt_0212_5805,alert_distributed_error,medium,25,1427,akamai,0,0
evt_0213_1170,alert_gambling_slot,high,70,769,imperva,0,1
evt_0214_3969,alert_webshell_name,high,75,63,akamai,0,0
evt_0215_7115,alert_webshell_heur,medium,77,71,paloalto,0,0
evt_0216_2387,alert_webshell_name,medium,78,55,imperva,0,1
evt_0217_6921,alert_distributed_error,medium,13,3889,none,0,0
evt_0218_9597,alert_distributed_error,medium,17,824,none,0,0
evt_0219_2242,alert_gambling_slot,high,45,629,none,0,0
evt_0220_2119,alert_distributed_error,medium,32,4260,none,0,0
evt_0221_6630,alert_gambling_slot,high,63,823,akamai,0,1
evt_0222_2321,alert_gambling_slot,high,54,829,akamai,0,1
evt_0223_7045,alert_webshell_immediate,high,86,75,paloalto,0,1
evt_0224_2745,alert_url_probe,low,72,35,paloalto,0,0
evt_0225_3341,alert_distributed_error,low,10,8,paloalto,1,0
evt_0226_3440,alert_webshell_heur,medium,89,45,imperva,0,1
evt_0227_6656,alert_distributed_error,medium,51,260,none,0,1
evt_0228_8219,alert_distributed_error,medium,32,4580,none,0,0
evt_0229_2217,alert_webshell_heur,medium,68,11,imperva,0,1
evt_0230_7527,alert_webshell_heur,medium,54,70,paloalto,0,1
evt_0231_7507,alert_webshell_heur,medium,58,36,akamai,0,1
evt_0232_8810,alert_gambling_slot,low,9,6,imperva,1,0
evt_0233_5613,alert_url_probe,low,38,19,none,0,1
evt_0234_4443,alert_distributed_error,medium,24,4279,none,0,0
evt_0235_2869,alert_webshell_name,medium,67,79,none,0,1
evt_0236_5862,alert_webshell_heur,high,88,26,none,0,1
evt_0237_6434,alert_url_probe,low,22,24,imperva,0,1
evt_0238_9068,alert_webshell_name,medium,55,14,paloalto,0,1
evt_0239_5086,alert_gambling_slot,high,43,181,none,0,1
evt_0240_3713,alert_distributed_error,medium,39,3268,imperva,0,1
evt_0241_2106,alert_gambling_slot,high,55,389,none,0,0
evt_0242_8777,alert_webshell_heur,high,54,38,imperva,0,1
evt_0243_5181,alert_distributed_error,medium,18,2346,none,0,0
evt_0244_5566,alert_distributed_error,medium,28,1969,akamai,0,0
evt_0245_6056,alert_gambling_slot,high,80,816,none,0,1
evt_0246_3749,alert_gambling_slot,high,41,675,akamai,0,1
evt_0247_5413,alert_gambling_slot,high,49,804,imperva,0,1
evt_0248_7635,alert_url_probe,medium,82,33,akamai,0,1
evt_0249_2962,alert_webshell_heur,medium,75,47,imperva,0,1
evt_0250_9800,alert_webshell_heur,medium,75,8,paloalto,0,1
evt_0251_4958,alert_webshell_name,medium,76,68,none,0,0
evt_0252_5309,alert_gambling_slot,high,73,609,paloalto,0,1
evt_0253_5192,alert_distributed_error,medium,43,1588,none,0,0
evt_0254_7969,alert_webshell_name,high,72,39,paloalto,0,1
evt_0255_7448,alert_webshell_heur,low,2,3,none,1,0
evt_0256_7620,alert_webshell_name,high,87,49,akamai,0,1
evt_0257_3393,alert_url_probe,medium,82,22,imperva,0,0
evt_0258_8337,alert_webshell_name,high,54,23,paloalto,0,1
evt_0259_5910,alert_url_probe,medium,53,18,imperva,0,1
evt_0260_7717,alert_distributed_error,medium,40,4675,none,0,0
evt_0261_3669,alert_gambling_slot,high,67,130,none,0,1
evt_0262_6573,alert_webshell_immediate,low,9,2,none,1,0
evt_0263_3378,alert_webshell_immediate,high,97,92,none,0,1
evt_0264_5880,alert_gambling_slot,high,60,845,none,0,1
evt_0265_4830,alert_distributed_error,medium,24,4258,imperva,0,0
evt_0266_4156,alert_url_probe,medium,75,38,none,0,1
evt_0267_2041,alert_webshell_heur,medium,57,7,paloalto,0,0
evt_0268_2605,alert_webshell_name,high,72,78,akamai,0,1
evt_0269_1807,alert_url_probe,low,51,2,imperva,0,1
evt_0270_5990,alert_gambling_slot,high,78,194,paloalto,0,1
evt_0271_5556,alert_distributed_error,medium,19,2334,imperva,0,0
evt_0272_9286,alert_webshell_heur,high,78,63,akamai,0,1
evt_0273_8857,alert_gambling_slot,high,60,498,paloalto,0,1
evt_0274_4668,alert_url_probe,medium,72,47,paloalto,0,1
evt_0275_2396,alert_gambling_slot,low,3,5,none,1,0
evt_0276_3884,alert_gambling_slot,high,83,772,akamai,0,1
evt_0277_3103,alert_url_probe,medium,53,20,none,0,0
evt_0278_5428,alert_webshell_name,medium,52,74,none,0,1
evt_0279_8030,alert_webshell_immediate,high,98,117,paloalto,0,1
evt_0280_3598,alert_distributed_error,medium,20,1078,imperva,0,0
evt_0281_3108,alert_gambling_slot,high,69,887,imperva,0,1
evt_0282_5268,alert_distributed_error,medium,53,3827,akamai,0,0
evt_0283_9870,alert_webshell_name,medium,51,21,akamai,0,1
evt_0284_3721,alert_webshell_heur,medium,91,26,paloalto,0,1
evt_0285_4047,alert_distributed_error,medium,51,787,akamai,0,0
evt_0286_5550,alert_webshell_heur,medium,71,68,none,0,1
evt_0287_7665,alert_distributed_error,medium,46,1510,akamai,0,0
evt_0288_8794,alert_webshell_name,high,56,74,paloalto,0,1
evt_0289_6570,alert_gambling_slot,high,44,838,imperva,0,1
evt_0290_2772,alert_gambling_slot,low,9,2,none,1,0
evt_0291_5195,alert_gambling_slot,high,67,647,akamai,0,1
evt_0292_8561,alert_distributed_error,medium,47,2559,akamai,0,0
evt_0293_5353,alert_distributed_error,medium,11,511,imperva,0,1
evt_0294_6829,alert_webshell_immediate,high,94,103,paloalto,0,1
evt_0295_1099,alert_gambling_slot,high,61,500,akamai,0,1
evt_0296_6273,alert_distributed_error,medium,44,2261,paloalto,0,0
evt_0297_2868,alert_webshell_name,high,86,49,imperva,0,1
evt_0298_7515,alert_webshell_heur,high,50,39,paloalto,0,1
evt_0299_9092,alert_gambling_slot,high,80,947,paloalto,0,1
evt_0300_6700,alert_gambling_slot,high,66,960,akamai,0,1
evt_0301_5927,alert_webshell_immediate,high,88,66,paloalto,0,1
evt_0302_7030,alert_distributed_error,medium,20,1396,paloalto,0,0
evt_0303_1082,alert_webshell_immediate,high,93,23,akamai,0,1
evt_0304_3054,alert_webshell_heur,low,10,10,imperva,1,0
evt_0305_3478,alert_webshell_heur,high,52,6,imperva,0,1
evt_0306_5700,alert_gambling_slot,high,77,736,imperva,0,1
evt_0307_7722,alert_gambling_slot,high,64,570,imperva,0,1
evt_0308_5890,alert_webshell_name,high,68,58,akamai,0,1
evt_0309_9275,alert_webshell_immediate,low,7,2,imperva,1,0
evt_0310_9522,alert_gambling_slot,high,87,623,none,0,1
evt_0311_6520,alert_webshell_immediate,high,82,50,akamai,0,1
evt_0312_1370,alert_distributed_error,medium,51,4082,paloalto,0,0
evt_0313_3590,alert_webshell_heur,medium,73,55,none,0,1
evt_0314_8749,alert_webshell_heur,medium,66,30,none,0,1
evt_0315_3534,alert_webshell_heur,medium,95,9,imperva,0,1
evt_0316_8360,alert_distributed_error,medium,58,4548,akamai,0,0
evt_0317_4912,alert_webshell_name,medium,94,32,akamai,0,1
evt_0318_5260,alert_webshell_immediate,high,83,23,akamai,0,1
evt_0319_2717,alert_url_probe,low,25,36,akamai,0,0
evt_0320_5898,alert_webshell_heur,medium,75,36,paloalto,0,0
evt_0321_1126,alert_webshell_immediate,high,94,93,none,0,1
evt_0322_4861,alert_webshell_heur,medium,66,55,none,0,1
evt_0323_1282,alert_webshell_heur,medium,95,52,akamai,0,0
evt_0324_7766,alert_distributed_error,medium,34,4558,none,0,0
evt_0325_2688,alert_webshell_name,medium,65,7,akamai,0,0
evt_0326_5438,alert_webshell_heur,medium,83,30,none,0,1
evt_0327_1541,alert_webshell_immediate,high,82,71,none,0,1
evt_0328_3665,alert_webshell_heur,high,81,13,akamai,0,1
evt_0329_2520,alert_url_probe,medium,78,6,akamai,0,0
evt_0330_8399,alert_webshell_immediate,high,80,44,imperva,0,1
evt_0331_1232,alert_webshell_heur,high,62,59,akamai,0,1
evt_0332_4733,alert_gambling_slot,high,50,211,akamai,0,1
evt_0333_3616,alert_webshell_heur,high,87,27,none,0,0
evt_0334_4000,alert_webshell_name,medium,51,11,paloalto,0,1
evt_0335_9424,alert_webshell_immediate,high,85,16,paloalto,0,1
evt_0336_3892,alert_distributed_error,medium,20,942,none,0,1
evt_0337_4497,alert_url_probe,low,80,6,imperva,0,0
evt_0338_9542,alert_gambling_slot,high,90,393,none,0,1
evt_0339_7649,alert_gambling_slot,high,44,663,imperva,0,1
evt_0340_8024,alert_webshell_immediate,high,91,42,akamai,0,1
evt_0341_7116,alert_webshell_name,medium,52,8,paloalto,0,1
evt_0342_7926,alert_webshell_name,medium,89,7,paloalto,0,1
evt_0343_8724,alert_webshell_immediate,high,83,148,akamai,0,1
evt_0344_8745,alert_gambling_slot,high,43,974,akamai,0,1
evt_0345_6546,alert_webshell_immediate,high,82,145,imperva,0,1
evt_0346_6812,alert_webshell_name,high,57,30,akamai,0,1
evt_0347_6521,alert_webshell_immediate,high,84,50,paloalto,0,1
evt_0348_3176,alert_url_probe,medium,70,50,paloalto,0,0
evt_0349_7443,alert_gambling_slot,high,55,114,imperva,0,0
evt_0350_8827,alert_webshell_heur,high,94,7,akamai,0,1
evt_0351_2371,alert_distributed_error,medium,15,3191,paloalto,0,0
evt_0352_7702,alert_webshell_immediate,high,98,90,imperva,0,1
evt_0353_8475,alert_gambling_slot,high,63,337,none,0,0
evt_0354_4541,alert_webshell_heur,medium,57,35,paloalto,0,1
evt_0355_5629,alert_webshell_name,high,73,11,none,0,1
evt_0356_3411,alert_webshell_immediate,high,96,118,paloalto,0,1
evt_0357_2154,alert_gambling_slot,high,78,783,paloalto,0,0
evt_0358_8748,alert_webshell_immediate,high,95,89,paloalto,0,1
evt_0359_8858,alert_webshell_immediate,high,86,30,paloalto,0,1
evt_0360_7466,alert_distributed_error,medium,26,3841,akamai,0,0
evt_0361_6628,alert_webshell_immediate,high,97,63,none,0,1
evt_0362_1406,alert_webshell_immediate,high,96,96,akamai,0,1
evt_0363_8864,alert_url_probe,low,44,45,paloalto,0,0
evt_0364_9893,alert_url_probe,medium,61,15,imperva,0,1
evt_0365_9226,alert_webshell_heur,high,61,60,akamai,0,1
evt_0366_4478,alert_webshell_heur,medium,89,23,imperva,0,1
evt_0367_5090,alert_url_probe,low,47,37,imperva,0,1
evt_0368_3828,alert_webshell_name,high,81,59,akamai,0,1
evt_0369_7559,alert_webshell_heur,high,92,63,imperva,0,1
evt_0370_4882,alert_webshell_immediate,high,92,95,none,0,1
evt_0371_1422,alert_webshell_name,medium,87,44,paloalto,0,1
evt_0372_1585,alert_webshell_heur,medium,64,25,paloalto,0,1
evt_0373_9233,alert_gambling_slot,high,77,454,none,0,1
evt_0374_2172,alert_distributed_error,medium,48,1994,none,0,0
evt_0375_2192,alert_url_probe,medium,36,23,akamai,0,0
evt_0376_6774,alert_webshell_name,medium,76,42,none,0,1
evt_0377_9920,alert_url_probe,medium,76,4,none,0,0
evt_0378_8631,alert_webshell_immediate,high,95,40,imperva,0,0
evt_0379_8793,alert_gambling_slot,high,78,346,paloalto,0,1
evt_0380_5913,alert_webshell_name,high,55,24,paloalto,0,1
evt_0381_4059,alert_webshell_immediate,high,84,46,none,0,1
evt_0382_5680,alert_webshell_name,medium,68,34,akamai,0,1
evt_0383_2012,alert_gambling_slot,high,82,229,none,0,1
evt_0384_1325,alert_url_probe,low,52,18,none,0,0
evt_0385_7589,alert_webshell_immediate,low,4,5,imperva,1,0
evt_0386_4433,alert_distributed_error,low,1,10,paloalto,1,0
evt_0387_6098,alert_gambling_slot,high,68,862,akamai,0,1
evt_0388_7581,alert_url_probe,medium,78,26,none,0,1
evt_0389_4699,alert_distributed_error,medium,14,4725,akamai,0,0
evt_0390_3486,alert_webshell_immediate,high,98,120,imperva,0,1
evt_0391_1278,alert_webshell_name,medium,79,14,none,0,1
evt_0392_7496,alert_webshell_name,high,70,7,none,0,1
evt_0393_2039,alert_gambling_slot,high,62,469,paloalto,0,1
evt_0394_2142,alert_url_probe,medium,45,40,none,0,1
evt_0395_4568,alert_webshell_immediate,high,100,129,paloalto,0,1
evt_0396_9476,alert_url_probe,low,77,30,imperva,0,0
evt_0397_4574,alert_distributed_error,medium,55,245,akamai,0,0
evt_0398_7033,alert_gambling_slot,high,80,767,none,0,1
evt_0399_3815,alert_webshell_heur,high,80,14,paloalto,0,1
evt_0400_8361,alert_gambling_slot,high,58,150,none,0,1
evt_0401_7823,alert_distributed_error,medium,14,3677,none,0,1
evt_0402_9961,alert_url_probe,low,40,42,akamai,0,1
evt_0403_1661,alert_distributed_error,medium,10,186,imperva,0,0
evt_0404_7096,alert_gambling_slot,high,48,389,akamai,0,1
evt_0405_8216,alert_distributed_error,medium,37,4702,none,0,1
evt_0406_3981,alert_gambling_slot,high,43,801,imperva,0,1
evt_0407_9105,alert_gambling_slot,high,60,406,imperva,0,1
evt_0408_2965,alert_gambling_slot,high,42,973,imperva,0,1
evt_0409_2262,alert_gambling_slot,low,4,9,imperva,1,0
evt_0410_8269,alert_webshell_name,high,58,53,paloalto,0,1
evt_0411_4007,alert_webshell_name,high,82,79,none,0,1
evt_0412_2843,alert_webshell_heur,medium,63,54,akamai,0,1
evt_0413_3670,alert_gambling_slot,high,43,318,none,0,0
evt_0414_4123,alert_webshell_name,high,63,25,akamai,0,0
evt_0415_4415,alert_distributed_error,medium,50,206,akamai,0,1
evt_0416_4844,alert_webshell_heur,high,66,8,akamai,0,1
evt_0417_8336,alert_gambling_slot,high,67,309,paloalto,0,1
evt_0418_3995,alert_gambling_slot,high,73,865,paloalto,0,1
evt_0419_6046,alert_webshell_heur,medium,85,8,paloalto,0,1
evt_0420_8230,alert_url_probe,low,82,43,imperva,0,0
evt_0421_7336,alert_url_probe,medium,32,25,paloalto,0,0
evt_0422_7435,alert_url_probe,medium,79,28,imperva,0,0
evt_0423_9664,alert_webshell_heur,high,90,63,paloalto,0,0
evt_0424_2775,alert_webshell_immediate,high,94,104,akamai,0,1
